proper,HR,RA2000,DEJ2000,Vmag
NA,438,1.535438,34.799962,6.39
NA,447,1.543438,-49.727713,6.27
NA,445,1.548903,-36.865231,5.49
NA,444,1.550979,-9.014662,6.6
NA,439,1.557142,58.327334,5.69
NA,467,1.560901,-78.50482,6.11
NA,448,1.561899,-7.025341,5.75
NA,286,1.563487,89.015639,6.46
NA,442,1.565528,59.23204,4.68
NA,446,1.571279,37.237146,5.9
NA,451,1.57716,-15.676359,5.62
NA,450,1.580296,18.460512,5.9
NA,453,1.580775,-31.892317,6.11
NA,460,1.587465,-58.139475,6.03
NA,455,1.596234,14.661422,6.23
NA,452,1.59793,41.07642,6.39
NA,457,1.598542,17.433841,5.95
NA,459,1.599713,-15.400183,5.41
NA,462,1.602361,-29.907317,5.69
NA,454,1.607557,48.722776,6.2
NA,468,1.61244,-58.270966,6.18
Titawin,458,1.613299,41.405459,4.1
NA,463,1.61831,12.141535,5.54
NA,449,1.622832,74.300955,6.58
NA,525,1.624389,-84.769593,5.66
NA,466,1.62714,-9.403782,6.24
Achernar,472,1.628556,-57.236757,0.45
NA,512,1.631959,-82.974995,5.88
Nembus,464,1.633205,48.628213,3.59
NA,461,1.635435,57.977631,5.55
NA,471,1.640968,-36.528251,5.94
NA,456,1.641926,73.04004,5.28
NA,465,1.642174,45.399706,6.38
NA,479,1.64682,-53.43891,7.11
NA,474,1.647221,-25.022198,6.69
NA,473,1.647718,-21.275384,5.58
NA,469,1.655835,44.386165,5.01
NA,475,1.661338,16.405858,5.98
p Eridani,486,1.663169,-56.1964,5.76
NA,470,1.670308,53.868278,6.35
NA,477,1.676337,40.577049,4.96
NA,476,1.677674,43.297687,5.63
NA,484,1.688435,25.745712,6.2
NA,516,1.689256,-79.1482,6.33
NA,489,1.690526,5.487613,4.45
NA,494,1.69092,-38.132827,6.2
NA,485,1.694233,30.04712,5.97
NA,501,1.69478,-50.038638,6.63
NA,492,1.695787,-11.324669,5.75
NA,483,1.696383,42.613369,4.96
NA,505,1.696655,-60.789339,5.7
NA,481,1.700807,61.038239,6.69
NA,498,1.700833,-36.832305,5.7
NA,490,1.700968,35.245707,5.63
NA,497,1.702389,-32.32697,5.25
NA,482,1.704915,58.627739,6.35
NA,478,1.705688,68.043021,5.57
NA,506,1.708125,-53.740834,5.52
NA,493,1.70827,20.268504,5.24
NA,500,1.712086,-3.6902,4.98
NA,480,1.715493,70.622526,5.18
NA,488,1.7162,61.421073,6.33
NA,495,1.721242,45.322649,6.33
NA,491,1.722151,60.551332,5.78
NA,496,1.727675,50.688732,4.01
NA,503,1.730596,32.192015,6.32
NA,507,1.731888,-4.765514,6.2
NA,509,1.734479,-15.93748,3.49
NA,499,1.738317,57.536617,6.18
NA,504,1.740702,46.139692,6.32
NA,502,1.746156,57.089226,6.25
NA,508,1.748841,20.083149,6.27
Torcular,510,1.756564,9.157736,4.26
NA,514,1.760763,-25.05261,5.29
NA,513,1.766461,-5.733299,5.37
NA,517,1.766959,-27.348831,6.38
NA,519,1.76832,-50.816256,5.49
NA,520,1.768392,-53.522037,5.04
NA,515,1.776472,17.412696,6.55
NA,524,1.787972,-41.759926,6.18
NA,511,1.795668,63.852501,5.63
NA,550,1.796291,-80.176311,6.05
NA,528,1.796602,-37.159483,6.33
NA,518,1.79667,46.22975,6.33
NA,522,1.803038,16.955551,5.86
NA,527,1.807227,3.685447,5.91
NA,521,1.810808,37.95287,5.94
NA,523,1.81155,32.69021,5.78
NA,526,1.820986,47.896924,6.01
NA,532,1.822059,-31.072463,6.35
NA,531,1.826418,-10.68641,4.66
NA,535,1.83024,-38.402797,6.37
NA,530,1.835714,22.275338,5.83
NA,537,1.83893,-47.816392,6.14
NA,534,1.84777,11.043378,5.92
NA,541,1.848459,-50.206138,5.94
NA,529,1.849198,51.933417,5.96
Baten Kaitos,539,1.857676,-10.335038,3.74
NA,533,1.866476,55.147385,5.53
NA,536,1.869268,50.792794,5.7
NA,538,1.880758,51.474836,6.28
NA,547,1.881142,-16.92925,5.78
Mothallah,544,1.884696,29.578829,3.42
NA,543,1.888152,40.72979,5.42
NA,554,1.889764,-38.594632,6.09
Mesarthim,546,1.89217,19.293852,3.88
NA,549,1.892597,3.187536,4.61
NA,555,1.894102,-46.302669,4.39
NA,540,1.896803,55.597639,6.44
NA,558,1.906122,-42.49695,5.12
